step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
0,-2.4409,-1.7494,0.1590,-2.8602,0.1385,1.0796,-1.2051,-0.0241,-0.0749,0.4892,-0.0201,-0.0741,0.4919,2
8,-2.4360,-1.7426,0.1507,-2.8986,0.1406,1.1977,-1.3961,-0.0396,-0.0851,0.4842,-0.0162,-0.0833,0.4980,2
16,-2.4069,-1.7336,0.1572,-2.8830,0.1559,1.2680,-1.5440,-0.0390,-0.0936,0.4962,-0.0124,-0.0924,0.5041,2
24,-2.4033,-1.7200,0.1731,-2.8581,0.1792,1.2987,-1.6520,-0.0349,-0.1003,0.5075,-0.0085,-0.1016,0.5101,2
32,-2.4163,-1.7037,0.1948,-2.8329,0.2071,1.2933,-1.7228,-0.0292,-0.1057,0.5146,-0.0046,-0.1107,0.5162,2
40,-2.4393,-1.6862,0.2195,-2.8071,0.2372,1.2537,-1.7586,-0.0218,-0.1098,0.5178,-0.0007,-0.1199,0.5223,2
48,-2.4673,-1.6683,0.2454,-2.7808,0.2680,1.2067,-1.7615,-0.0141,-0.1142,0.5200,0.0032,-0.1291,0.5283,2
56,-2.4949,-1.6494,0.2707,-2.7540,0.2977,1.1747,-1.7338,-0.0075,-0.1203,0.5237,0.0071,-0.1382,0.5344,2
64,-2.5173,-1.6287,0.2944,-2.7269,0.3251,1.1539,-1.6916,-0.0019,-0.1274,0.5282,0.0110,-0.1474,0.5405,2
72,-2.5348,-1.6064,0.3166,-2.6996,0.3503,1.1409,-1.6596,0.0032,-0.1354,0.5332,0.0149,-0.1565,0.5466,2
80,-2.5487,-1.5843,0.3364,-2.6733,0.3734,1.1331,-1.6349,0.0078,-0.1434,0.5382,0.0075,-0.1431,0.5359,2
88,-2.5518,-1.5912,0.3426,-2.6828,0.3829,1.1306,-1.6252,0.0083,-0.1442,0.5342,0.0090,-0.1460,0.5204,2
96,-2.5505,-1.6069,0.3556,-2.7043,0.3949,1.1330,-1.6180,0.0090,-0.1454,0.5261,0.0104,-0.1489,0.5050,2
104,-2.5459,-1.6275,0.3741,-2.7325,0.4127,1.1385,-1.6114,0.0101,-0.1473,0.5154,0.0119,-0.1518,0.4895,2
112,-2.5384,-1.6514,0.3973,-2.7648,0.4350,1.1459,-1.6052,0.0115,-0.1496,0.5031,0.0134,-0.1547,0.4741,2
120,-2.5282,-1.6771,0.4247,-2.7995,0.4614,1.1543,-1.5988,0.0130,-0.1523,0.4897,0.0148,-0.1576,0.4586,2
128,-2.5154,-1.7038,0.4562,-2.8355,0.4915,1.1632,-1.5919,0.0146,-0.1550,0.4756,0.0163,-0.1605,0.4431,2
136,-2.4913,-1.7248,0.4896,-2.8729,0.5220,1.1777,-1.5766,0.0159,-0.1581,0.4608,0.0178,-0.1635,0.4277,2
0,-1.2645,-0.4519,-0.1148,-0.5537,-0.3029,0.0219,0.3453,-0.0617,0.0181,0.9284,-0.0611,0.0072,0.9337,1
8,-1.6783,-0.4897,-0.1045,-0.5271,-0.4226,0.0364,0.4462,-0.0532,0.0748,0.9283,-0.0719,-0.0247,0.9726,1
16,-2.0013,-0.5137,-0.0812,-0.4810,-0.5211,0.0680,0.5121,-0.0182,0.1148,0.9296,-0.0827,-0.0566,1.0115,1
24,-2.2229,-0.5150,-0.1194,-0.4147,-0.5888,0.0986,0.5444,0.0113,0.1427,0.9294,-0.0934,-0.0886,1.0505,1
32,-2.3657,-0.4845,-0.1718,-0.3184,-0.6502,0.1211,0.5458,0.0347,0.1586,0.9291,-0.1042,-0.1205,1.0894,1
40,-2.4549,-0.4373,-0.2169,-0.2458,-0.6963,0.1316,0.5322,0.0437,0.1592,0.9301,-0.1150,-0.1525,1.1284,1
48,-2.4746,-0.3957,-0.2383,-0.2369,-0.7335,0.1392,0.4977,0.0297,0.1512,0.9341,-0.1258,-0.1844,1.1673,1
56,-2.4401,-0.3614,-0.2020,-0.2762,-0.7577,0.1580,0.4853,-0.0019,0.1306,0.9421,0.0001,0.0907,0.9606,1
64,-2.3096,-0.3311,-0.1239,-0.3270,-0.7618,0.1651,0.5012,-0.0397,0.0937,0.9482,-0.0308,0.0230,0.9901,1
72,-2.1015,-0.3062,-0.0665,-0.3436,-0.7391,0.1566,0.4969,-0.0618,0.0553,0.9497,-0.0616,-0.0446,1.0196,1
80,-1.8385,-0.2667,-0.0306,-0.3324,-0.6971,0.1475,0.4630,-0.0713,0.0095,0.9497,-0.0925,-0.1123,1.0490,1
